Country Name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58
Romania,,,,,,,11400.0,10900.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,87100.0,86700.0,86200.0,86000.0,86100.0,85800.0,85500.0,85400.0,85300.0,85500.0,85300.0,84200.0,85200.0,85300.0,85300.0,85200.0,85200.0,85300.0,85300.0,85300.0,85400.0,85500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,1020.0,1020.0,1020.0,1020.0,958.0,1080.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,,1410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,906.0,906.0,906.0,906.0,906.0,906.0,906.0,906.0,906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,,,,,3810.0,3810.0,3810.0,3810.0,3810.0,3810.0,3810.0,3810.0,3810.0,3810.0,3810.0,3810.0,3810.0,3810.0,3810.0,3810.0,3740.0,3740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,22900.0,22800.0,22700.0,20100.0,22700.0,20000.0,20000.0,20000.0,20000.0,20000.0,,22300.0,19800.0,,,,,,,21000.0,21000.0,21000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,3120.0,3120.0,3130.0,3120.0,3120.0,3130.0,3130.0,3140.0,3370.0,3390.0,3390.0,3400.0,3380.0,3380.0,3620.0,3640.0,3650.0,3670.0,3670.0,3940.0,4070.0,4190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,13800.0,13900.0,13900.0,13900.0,13900.0,13900.0,13900.0,14400.0,14400.0,14300.0,14500.0,15000.0,15000.0,15000.0,15600.0,15700.0,15400.0,15600.0,15500.0,15700.0,15700.0,15600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,1490.0,1490.0,1490.0,1460.0,,,,,,,,1460.0,,,,1150.0,1150.0,1250.0,,1570.0,1560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,10900.0,10700.0,10900.0,10700.0,10700.0,9870.0,9940.0,9880.0,9900.0,9870.0,9870.0,9820.0,9840.0,9950.0,9970.0,10000.0,9940.0,9770.0,9690.0,9720.0,9680.0,9680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
